timestamp,Temperature,T Max,T Min,RH,WS,WD,Precp,SunShine,GloblRad,UVI Max
2024-01-01,17.3,18.5,16.2,64,3.6,90,0.0,0.7,9.1,4.0
2024-01-02,19.4,24.1,16.0,66,2.5,90,0.0,8.9,13.98,5.0
2024-01-03,15.7,18.3,13.6,82,2.1,320,5.0,0.0,1.21,1.0
2024-01-04,16.3,17.9,13.1,64,2.6,90,0.0,0.0,5.19,2.0
2024-01-05,17.8,22.5,13.9,77,1.3,190,0.0,8.2,13.68,5.0
2024-01-06,18.3,22.8,15.2,77,1.7,160,0.0,6.3,13.36,5.0
2024-01-07,17.9,18.4,17.5,63,2.7,90,0.0,0.0,5.9,3.0
2024-01-08,18.9,21.5,16.8,73,2.6,100,,1.7,9.28,5.0
2024-01-09,18.6,20.6,17.3,88,1.1,100,2.5,0.2,4.64,2.0
2024-01-10,16.2,18.3,12.2,72,1.7,150,,0.3,2.67,1.0
2024-01-11,15.0,18.4,12.4,58,2.6,90,0.0,9.8,15.74,5.0
2024-01-12,16.6,21.9,12.3,72,1.8,90,0.0,9.3,14.87,5.0
2024-01-13,18.4,23.6,13.5,68,2.7,90,0.0,10.1,15.94,5.0
2024-01-14,20.6,25.9,17.6,62,1.8,90,0.0,9.8,15.78,5.0
2024-01-15,16.9,19.7,15.1,86,1.9,90,4.5,0.4,2.17,1.0
2024-01-16,17.4,19.5,15.8,77,3.2,100,,1.9,9.69,5.0
2024-01-17,21.1,24.6,17.9,64,2.4,90,0.0,4.9,13.09,5.0
2024-01-18,20.4,25.7,16.4,75,1.5,90,0.0,7.4,15.22,6.0
2024-01-19,21.1,25.3,17.1,81,2.3,90,0.0,9.8,16.34,6.0
2024-01-20,20.2,23.9,17.5,83,1.9,310,,2.0,9.32,5.0
2024-01-21,15.4,17.6,14.5,86,2.4,100,9.0,0.0,4.17,3.0
2024-01-22,13.5,15.2,9.7,83,2.6,90,0.5,0.0,4.25,2.0
2024-01-23,9.0,10.1,7.4,85,1.7,30,11.0,0.0,0.91,0.0
2024-01-24,10.9,11.9,9.7,71,2.6,80,0.0,0.0,2.71,2.0
2024-01-25,11.7,12.6,10.7,90,1.7,90,2.5,0.0,0.97,1.0
2024-01-26,13.3,14.8,11.4,79,2.1,90,0.0,0.0,4.58,4.0
2024-01-27,14.0,14.5,13.5,82,2.1,90,0.5,0.0,1.76,1.0
2024-01-28,13.7,14.9,12.8,76,2.8,90,0.5,0.0,4.99,3.0
2024-01-29,18.7,24.6,13.7,79,2.4,100,1.5,7.6,16.16,6.0
2024-01-30,18.5,21.6,17.2,88,1.1,310,,1.3,7.71,4.0
2024-01-31,20.9,25.5,17.6,83,0.9,170,0.0,6.5,12.95,6.0
2024-02-01,22.4,29.6,17.2,76,0.9,180,0.0,7.9,15.87,7.0
2024-02-02,20.1,22.5,18.3,87,1.9,110,0.0,0.0,4.81,3.0
2024-02-03,19.9,24.2,18.2,88,2.0,90,,2.7,12.92,8.0
2024-02-04,20.1,23.5,14.8,88,3.0,90,,1.9,10.78,7.0
2024-02-05,16.7,18.4,14.8,87,2.9,90,1.0,0.0,4.82,2.0
2024-02-06,16.1,17.4,14.7,88,3.9,90,,0.1,5.3,4.0
2024-02-07,15.7,18.8,13.3,91,2.1,100,16.0,0.3,6.12,5.0
2024-02-08,13.6,15.4,12.7,91,2.4,90,13.0,0.0,3.21,3.0
2024-02-09,12.4,13.1,11.8,89,1.5,90,12.5,0.0,2.39,2.0
2024-02-10,14.1,16.1,12.1,64,1.9,90,0.0,0.0,8.64,4.0
2024-02-11,15.5,21.6,9.8,58,2.2,90,0.0,10.5,19.84,7.0
2024-02-12,18.5,23.2,14.8,53,3.0,90,0.0,10.3,19.64,7.0
2024-02-13,18.6,24.5,13.9,61,1.5,140,0.0,9.7,19.4,7.0
2024-02-14,19.4,26.7,14.1,61,1.6,160,0.0,10.6,19.56,8.0
2024-02-15,20.4,27.7,15.8,71,2.0,90,0.0,7.7,16.83,7.0
2024-02-16,16.0,16.7,15.1,84,2.8,90,0.0,0.0,5.19,3.0
2024-02-17,18.9,23.4,16.6,83,1.6,90,,7.1,17.87,7.0
2024-02-18,21.4,27.6,16.3,76,1.2,200,0.0,10.2,19.5,8.0
2024-02-19,24.2,30.4,19.5,73,1.4,320,0.0,8.2,18.11,8.0
2024-02-20,24.8,29.9,21.0,77,1.2,330,0.0,5.7,15.55,7.0
2024-02-21,24.6,29.2,21.0,78,1.3,100,0.0,5.8,14.31,7.0
2024-02-22,20.4,24.0,16.6,83,2.7,100,0.0,1.6,10.6,6.0
2024-02-23,15.5,17.4,14.3,85,3.7,90,,0.2,8.02,4.0
2024-02-24,16.0,18.8,14.7,86,2.9,90,0.0,0.9,8.18,5.0
2024-02-25,13.4,15.8,11.5,84,3.5,90,,0.0,5.44,3.0
2024-02-26,13.1,14.0,11.8,85,2.5,100,,0.0,2.43,2.0
2024-02-27,14.2,15.1,13.3,91,1.8,100,,0.0,3.25,2.0
2024-02-28,17.4,23.5,15.0,85,2.2,90,,4.3,14.72,8.0
2024-02-29,17.7,26.4,15.0,87,1.6,320,0.5,5.0,15.6,7.0
2024-03-01,12.3,15.4,11.1,91,1.8,100,11.5,0.0,2.03,1.0
2024-03-02,11.9,12.6,10.8,96,2.1,90,7.5,0.0,2.23,2.0
2024-03-03,14.3,16.4,12.3,92,2.9,90,,1.0,5.41,2.0
2024-03-04,18.3,23.5,13.3,86,1.3,310,0.0,6.8,16.72,6.0
2024-03-05,23.1,30.8,17.4,78,1.4,130,0.0,7.6,16.65,7.0
2024-03-06,17.7,27.6,13.8,84,2.8,90,3.0,0.0,1.96,2.0
2024-03-07,14.1,14.7,13.0,91,2.4,90,11.5,0.0,2.27,1.0
2024-03-08,14.5,16.9,12.5,53,2.8,90,0.0,5.6,15.52,6.0
2024-03-09,14.2,15.8,12.3,58,3.1,90,,0.0,5.34,3.0
2024-03-10,17.3,19.1,14.5,71,3.2,90,,0.0,7.06,3.0
2024-03-11,17.2,19.9,15.4,91,1.1,240,23.0,0.3,4.33,2.0
2024-03-12,18.3,23.6,14.6,61,1.9,100,2.0,10.9,24.03,9.0
2024-03-13,18.7,22.0,15.9,59,3.3,100,0.0,6.6,18.88,7.0
2024-03-14,20.0,24.5,17.3,68,1.4,160,,1.2,11.05,7.0
2024-03-15,19.1,20.6,17.4,83,0.9,210,0.5,0.0,3.35,3.0
2024-03-16,20.4,24.5,17.4,86,1.0,190,0.0,0.2,8.85,5.0
2024-03-17,21.8,28.2,18.5,82,2.1,90,0.0,6.7,18.5,8.0
2024-03-18,17.9,19.6,16.7,84,3.8,90,0.0,5.7,17.6,9.0
2024-03-19,15.4,18.6,14.2,83,1.6,310,4.5,0.7,4.0,3.0
2024-03-20,16.6,20.1,13.5,54,3.2,100,0.0,8.9,21.35,9.0
2024-03-21,19.2,24.1,14.8,54,2.9,90,0.0,7.2,21.24,9.0
2024-03-22,21.8,27.6,17.4,60,1.4,170,0.0,5.3,18.98,8.0
2024-03-23,24.1,30.4,18.8,74,1.4,180,1.0,8.1,19.44,7.0
2024-03-24,25.8,31.9,21.3,79,1.5,340,0.0,6.7,19.46,9.0
2024-03-25,26.1,30.9,22.6,81,1.4,170,0.0,2.9,14.01,7.0
2024-03-26,20.2,25.2,16.8,86,3.6,90,2.0,0.0,5.46,3.0
2024-03-27,20.4,23.0,17.6,78,3.2,90,0.0,3.4,16.3,8.0
2024-03-28,24.8,31.4,20.5,75,1.7,260,,4.1,14.43,10.0
2024-03-29,24.1,27.6,22.2,73,2.2,90,0.0,5.9,18.33,8.0
2024-03-30,24.0,28.4,20.9,82,1.1,170,2.5,1.3,9.11,6.0
2024-03-31,23.5,28.4,21.1,89,1.7,200,35.0,1.8,9.75,6.0
2024-04-01,23.7,28.1,19.6,73,2.3,80,1.5,2.2,15.63,7.0
2024-04-02,26.6,33.0,21.4,77,1.4,90,0.5,7.6,21.48,9.0
2024-04-03,28.1,33.3,24.0,73,1.5,300,0.0,7.2,18.27,7.0
2024-04-04,25.3,30.5,21.6,85,1.8,90,4.5,1.9,11.21,6.0
2024-04-05,20.6,21.9,19.8,88,3.1,100,,0.1,6.8,4.0
2024-04-06,21.5,25.3,19.7,91,2.4,90,1.0,1.4,9.48,5.0
2024-04-07,21.9,25.2,20.4,92,2.9,90,4.0,0.8,14.21,9.0
2024-04-08,22.3,24.1,18.8,94,1.6,330,19.5,0.0,3.73,2.0
2024-04-09,19.0,19.8,18.3,86,2.7,100,1.0,0.0,2.82,2.0
2024-04-10,21.6,22.9,19.6,86,2.8,90,5.5,0.0,5.03,3.0
2024-04-11,24.4,28.5,20.2,79,1.4,140,0.0,4.7,17.56,7.0
2024-04-12,25.6,29.4,22.0,82,1.1,330,0.0,2.9,15.73,6.0
2024-04-13,26.1,29.1,24.2,84,1.8,90,0.0,3.5,17.45,7.0
2024-04-14,26.3,29.1,23.7,85,1.2,170,,1.3,11.12,4.0
2024-04-15,27.9,33.8,24.2,80,1.6,340,0.0,6.1,18.65,7.0
2024-04-16,27.3,31.6,25.0,83,1.6,320,,3.1,13.29,6.0
2024-04-17,27.4,30.9,23.8,75,2.0,300,,5.3,15.74,7.0
2024-04-18,23.3,27.4,21.5,83,2.8,90,76.0,0.0,5.88,3.0
2024-04-19,25.1,29.7,22.1,79,2.3,120,1.0,2.4,13.68,9.0
2024-04-20,26.4,32.1,23.1,81,1.5,170,5.0,4.1,15.86,8.0
2024-04-21,26.7,30.8,23.1,81,1.6,320,0.0,4.4,18.0,6.0
2024-04-22,26.5,28.7,25.1,84,1.1,120,0.5,0.2,6.34,3.0
2024-04-23,26.8,29.9,23.6,82,1.2,280,2.0,1.3,9.85,4.0
2024-04-24,21.3,25.7,19.0,94,2.8,90,46.5,0.0,4.4,4.0
2024-04-25,23.5,27.6,20.6,92,1.3,90,10.5,0.0,8.61,6.0
2024-04-26,23.9,27.7,21.6,94,1.3,140,29.5,3.0,8.55,5.0
2024-04-27,25.3,29.2,22.3,88,1.3,80,0.5,1.6,12.41,6.0
2024-04-28,26.4,31.4,24.4,79,1.4,160,1.0,3.0,12.78,6.0
2024-04-29,28.9,35.2,23.3,66,1.8,290,0.0,10.2,24.89,9.0
2024-04-30,27.7,33.4,23.2,73,2.2,340,4.5,6.1,17.26,7.0
2024-05-01,23.8,27.8,20.8,82,2.3,100,7.5,0.4,6.6,5.0
2024-05-02,21.5,23.3,20.5,84,2.9,90,9.5,0.3,8.27,7.0
2024-05-03,23.3,26.0,21.2,77,3.8,90,0.0,10.7,25.34,10.0
2024-05-04,26.6,33.0,23.1,79,2.4,90,,4.6,20.13,10.0
2024-05-05,27.2,31.6,24.4,78,1.1,200,,1.9,12.68,6.0
2024-05-06,27.7,32.0,25.1,74,2.1,280,0.0,5.7,20.31,8.0
