date,pm2.5,so2,no2,co,o3,pm10
2025/01/01,16.9,1.1,9.4,0.2,38.5,35.0
2025/01/02,8.3,1.2,9.5,0.2,33.3,16.5
2025/01/03,13.5,1.4,10.7,0.2,38.4,36.5
2025/01/04,10.5,1.5,5.5,0.1,42.0,27.9
2025/01/05,8.6,1.4,10.6,0.2,30.5,22.8
2025/01/06,21.9,1.5,10.7,0.3,43.8,46.5
2025/01/07,15.7,1.2,7.4,0.2,42.2,49.3
2025/01/08,9.4,0.9,14.0,0.2,29.4,22.4
2025/01/09,17.4,1.4,11.6,0.2,33.5,38.7
2025/01/10,10.9,1.4,11.0,0.2,29.3,24.4
2025/01/11,6.6,1.2,8.8,0.2,31.7,13.0
2025/01/12,11.8,1.7,8.0,0.2,36.1,24.3
2025/01/13,12.6,1.4,7.9,0.2,45.7,32.9
2025/01/14,17.9,1.6,24.2,0.4,33.5,32.0
2025/01/15,28.2,1.3,13.4,0.3,37.0,54.9
2025/01/16,10.7,1.9,9.6,0.2,30.6,27.5
2025/01/17,9.4,1.4,10.3,0.2,36.4,23.6
2025/01/18,9.5,1.5,9.8,0.2,36.7,19.1
2025/01/19,15.8,0.7,17.7,0.3,24.3,25.4
2025/01/20,18.9,1.7,11.5,0.3,49.3,34.4
2025/01/21,25.2,1.4,8.1,0.3,62.8,42.7
2025/01/22,28.6,1.7,20.0,0.4,39.4,44.9
2025/01/23,21.4,1.3,16.6,0.3,29.0,32.1
2025/01/24,10.7,1.5,13.2,0.3,27.7,19.2
2025/01/25,14.7,0.8,8.5,0.2,43.8,32.6
2025/01/26,11.9,0.8,7.0,0.2,40.7,22.5
2025/01/27,13.0,0.8,6.6,0.2,38.0,23.4
2025/01/28,12.7,1.6,5.2,0.2,35.6,32.7
2025/01/29,11.4,1.6,2.8,0.1,44.3,24.6
2025/01/30,10.2,1.9,3.1,0.1,45.1,18.5
2025/01/31,7.8,1.2,6.9,0.2,33.8,10.8
2025/02/01,6.1,0.5,8.0,0.2,26.5,6.2
2025/02/02,4.0,0.9,6.2,0.2,34.8,7.0
2025/02/03,9.0,1.0,11.0,0.3,32.7,10.4
2025/02/04,24.2,0.5,7.9,0.3,39.5,37.7
2025/02/05,13.3,1.3,7.4,0.2,39.9,26.1
2025/02/06,10.6,1.3,13.7,0.3,33.5,13.8
2025/02/07,8.9,1.3,10.9,0.2,34.4,16.2
2025/02/08,13.5,1.1,8.3,0.2,31.1,34.6
2025/02/09,9.0,1.5,5.4,0.2,34.2,16.7
2025/02/10,7.0,1.2,6.5,0.2,35.4,16.6
2025/02/11,7.9,1.2,13.0,0.3,28.4,13.6
2025/02/12,29.5,0.7,28.3,0.5,11.4,43.8
2025/02/13,11.7,0.6,8.5,0.3,33.6,16.2
2025/02/14,7.4,0.5,11.2,0.2,28.1,14.7
2025/02/15,16.5,0.8,15.5,0.4,26.0,25.8
2025/02/16,21.8,0.6,10.6,0.4,36.2,31.9
2025/02/17,36.2,0.9,8.4,0.4,60.9,66.7
2025/02/18,12.0,1.1,9.7,0.2,39.7,21.4
2025/02/19,9.4,0.7,11.7,0.2,38.5,17.8
2025/02/20,10.7,1.4,13.5,0.2,33.7,20.6
2025/02/21,4.6,1.1,8.8,0.2,36.8,6.6
2025/02/22,7.3,0.5,7.3,0.2,39.5,11.2
2025/02/23,4.7,0.8,7.9,0.2,39.5,4.6
2025/02/24,19.7,0.9,9.9,0.3,41.1,26.2
2025/02/25,22.1,1.2,15.4,0.4,35.3,35.5
2025/02/26,33.2,1.6,22.5,0.5,23.0,46.9
2025/02/27,32.3,1.3,28.5,0.6,14.3,43.1
2025/02/28,21.1,1.5,21.0,0.5,21.3,27.2
2025/03/01,16.2,1.3,17.3,0.4,23.9,23.3
2025/03/02,13.7,0.7,12.7,0.3,26.2,22.3
2025/03/03,19.5,2.4,30.7,0.5,10.2,31.1
2025/03/04,7.8,1.1,12.4,0.3,19.2,10.0
2025/03/05,4.4,0.9,10.2,0.2,30.6,3.3
2025/03/06,5.4,0.4,9.7,0.2,35.3,8.2
2025/03/07,13.9,1.4,8.6,0.2,41.8,24.1
2025/03/08,11.1,1.3,7.7,0.2,41.9,20.6
2025/03/09,11.0,1.5,8.0,0.2,41.0,23.0
2025/03/10,18.1,1.1,23.2,0.4,28.2,32.6
2025/03/11,33.5,1.1,26.7,0.5,22.5,46.2
2025/03/12,22.4,0.9,22.8,0.5,18.8,30.7
2025/03/13,15.6,1.1,19.4,0.4,13.2,21.2
2025/03/14,14.5,1.5,18.8,0.4,20.6,20.7
2025/03/15,8.2,0.7,17.6,0.3,21.1,9.5
2025/03/16,14.7,1.0,6.5,0.2,42.5,24.7
2025/03/17,23.9,1.1,8.8,0.2,42.8,42.6
2025/03/18,15.4,1.4,13.4,0.2,37.2,24.5
2025/03/19,20.3,1.0,12.1,0.2,48.4,38.7
2025/03/20,18.0,2.1,14.5,0.2,50.5,32.2
2025/03/21,14.4,1.6,12.8,0.3,53.8,25.2
2025/03/22,15.7,1.9,12.6,0.3,51.2,25.9
