timestamp,Temperature,T Max,T Min,RH,WS,WD,Precp,SunShine,GloblRad,UVI Max
2025/01/01,16.5,17.7,15.8,80,2.8,100,8.0,0.0,3.62,2.0
2025/01/02,17.3,19.3,15.7,84,2.2,130,6.0,0.1,6.84,5.0
2025/01/03,16.7,17.5,16.0,67,2.5,100,,0.0,2.5,2.0
2025/01/04,17.9,19.8,16.3,65,3.6,100,,3.0,9.35,4.0
2025/01/05,18.4,23.0,16.7,76,1.5,330,0.0,2.2,9.69,6.0
2025/01/06,16.8,19.4,14.7,62,2.6,100,0.0,7.9,13.07,5.0
2025/01/07,16.0,18.4,14.2,56,3.6,100,0.0,5.2,11.32,5.0
2025/01/08,16.1,17.3,15.1,75,3.5,100,,0.5,6.11,4.0
2025/01/09,14.7,16.5,12.6,69,2.9,100,,0.0,2.11,1.0
2025/01/10,12.1,12.9,11.7,71,2.3,100,,0.0,1.75,1.0
2025/01/11,12.5,14.0,11.3,78,2.0,120,,0.0,2.29,1.0
2025/01/12,13.7,18.0,11.1,59,1.8,100,0.0,8.3,14.18,6.0
2025/01/13,15.8,19.5,12.4,52,3.4,100,0.0,10.2,16.67,7.0
2025/01/14,19.0,24.4,15.1,56,1.5,340,0.0,9.9,15.91,7.0
2025/01/15,14.8,17.9,12.8,74,2.0,100,2.0,0.0,0.96,1.0
2025/01/16,13.9,16.7,12.6,63,2.3,100,,0.5,5.93,5.0
2025/01/17,14.2,15.7,13.2,56,3.0,100,0.0,0.4,8.7,4.0
2025/01/18,17.2,20.5,13.7,60,2.4,110,,3.9,10.25,5.0
2025/01/19,15.0,16.8,12.5,86,1.2,200,1.5,0.0,2.78,2.0
2025/01/20,16.1,20.6,11.0,63,2.5,100,0.0,6.3,13.76,6.0
2025/01/21,18.3,22.2,15.5,60,3.5,100,0.0,9.3,15.84,6.0
2025/01/22,20.1,23.2,17.5,65,1.7,110,0.5,0.0,6.88,4.0
2025/01/23,17.4,19.7,16.3,82,1.4,320,0.5,1.2,5.95,3.0
2025/01/24,19.2,23.5,15.8,77,1.9,100,,5.4,13.15,6.0
2025/01/25,18.8,20.0,18.0,74,2.2,100,,0.3,6.71,3.0
2025/01/26,16.4,18.7,12.9,78,1.8,100,18.0,0.0,2.01,2.0
2025/01/27,11.4,13.4,10.0,74,1.9,330,9.5,2.6,5.27,3.0
2025/01/28,12.5,16.8,8.3,60,2.4,90,0.0,9.4,16.9,7.0
2025/01/29,14.2,17.9,11.5,52,3.7,100,0.0,9.4,17.69,7.0
2025/01/30,17.7,22.6,13.7,54,3.0,100,0.0,10.3,17.77,7.0
2025/01/31,19.2,22.1,17.4,73,2.0,110,8.0,0.1,7.02,4.0
2025/02/01,19.1,24.6,16.4,87,1.7,100,9.5,2.8,11.7,7.0
2025/02/02,16.8,18.1,16.1,88,1.6,110,2.5,0.0,3.0,2.0
2025/02/03,13.6,16.4,11.4,90,1.5,120,17.0,0.0,0.95,1.0
2025/02/04,12.5,15.8,10.3,64,2.4,130,4.5,4.6,14.25,5.0
2025/02/05,15.1,18.3,12.4,58,3.2,100,0.0,1.9,10.62,5.0
2025/02/06,15.6,16.7,14.5,81,3.7,100,,0.1,4.87,1.0
2025/02/07,13.4,16.1,10.8,83,2.5,100,6.5,0.0,2.0,
2025/02/08,10.2,10.8,9.8,67,2.5,100,1.0,0.0,1.36,
2025/02/09,11.2,13.1,9.1,79,2.3,120,0.5,0.0,2.99,
2025/02/10,16.2,20.4,12.4,65,2.7,100,0.0,4.3,14.96,
2025/02/11,20.2,25.5,14.0,64,1.9,100,0.0,10.2,18.8,8.0
2025/02/12,18.9,22.5,16.9,86,1.2,330,24.0,0.0,5.55,4.0
2025/02/13,14.6,17.1,13.2,87,3.8,100,28.0,0.0,3.12,2.0
2025/02/14,17.5,19.7,15.2,83,3.5,100,,0.4,10.1,7.0
2025/02/15,19.7,27.2,16.1,81,1.1,310,0.0,9.9,19.37,10.0
2025/02/16,18.4,20.4,16.7,78,2.0,100,0.0,0.5,7.61,5.0
2025/02/17,18.0,20.4,15.6,56,3.5,100,,7.7,16.98,7.0
2025/02/18,15.2,16.9,14.6,83,3.4,100,,0.0,4.85,4.0
2025/02/19,16.2,17.5,14.4,78,3.4,100,0.0,0.0,2.6,4.0
2025/02/20,19.1,22.1,17.3,78,2.4,100,,3.9,14.69,9.0
2025/02/21,16.0,18.0,14.4,84,2.4,110,,0.3,7.65,7.0
2025/02/22,15.7,18.1,14.5,84,3.7,100,,0.8,6.38,4.0
2025/02/23,15.0,16.4,13.6,88,2.1,100,16.5,0.0,5.17,3.0
2025/02/24,13.0,13.8,12.3,80,3.2,100,,0.0,2.76,2.0
2025/02/25,17.3,22.6,13.2,68,2.3,100,0.0,2.9,13.64,9.0
2025/02/26,18.0,20.7,15.5,81,1.5,100,,0.0,6.85,5.0
2025/02/27,18.4,21.4,16.4,81,1.0,210,0.0,0.3,8.79,6.0
2025/02/28,20.3,26.5,15.3,75,1.1,330,0.0,11.0,21.24,9.0
