siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 00:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 00:00",0.51
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 00:00",37.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 00:00",23
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 00:00",21.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 00:00",15
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 01:00",1.2
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 01:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 01:00",52.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 01:00",20
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 01:00",7.3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 01:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 02:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 02:00",0.3
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 02:00",42.1
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 02:00",16
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 02:00",8.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 02:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 03:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 03:00",0.26
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 03:00",54.9
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 03:00",15
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 03:00",7.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 03:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 04:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 04:00",0.21
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 04:00",64.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 04:00",10
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 04:00",4.8
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 04:00",11
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 05:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 05:00",0.21
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 05:00",60.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 05:00",11
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 05:00",5.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 05:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 06:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 06:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 06:00",48.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 06:00",9
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 06:00",12.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 06:00",10
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 07:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 07:00",0.42
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 07:00",34.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 07:00",14
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 07:00",20.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 07:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 08:00",1.2
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 08:00",0.5
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 08:00",28.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 08:00",24
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 08:00",24.7
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 08:00",14
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 09:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 09:00",0.35
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 09:00",50.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 09:00",19
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 09:00",13.3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 09:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 10:00",1.2
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 10:00",0.3
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 10:00",63.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 10:00",18
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 10:00",7.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 10:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 11:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 11:00",0.28
